name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Pan YuFei,CHN,84,27+ 48. [75.44],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,27+,,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Miniely Or,ISR,85,19+ 80. | 18+ 67. [75.89],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,19+,18+,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Grosso Cesar,BRA,86,18 85. | 18+ 67. [79.15],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,18,18+,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Roji Fatchur,INA,87,20 78. | 18 78. [79.25],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,20,18,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Shchervianin Aleksei,RUS,88,12+ 103. | 19+ 63. [80.75],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,12+,19+,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Marne Hritik,IND,89,18 85. | 18 78. [83.43],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,18,18,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Lindbäck Kristoffer,SWE,90,18+ 82. | 16 87. [85.71],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,18+,16,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Fossali Ludovico,ITA,91,18+ 82. | 15 93. [88.80],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,18+,15,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Ho Foganholo Felipe ,BRA,92,18+ 67. [89.20],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,18+,,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Tkachuk Mykhayil,UKR,93,13+ 99. | 18 78. [89.22],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,13+,18,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Chuat Dylan,SUI,94,18 85. | 15+ 91. [89.22],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,18,15+,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Mawem Bassa,FRA,95,19 81. | 14 99. [90.00],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,19,14,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Abel Ben,AUS,96,14+ 96. | 17 83. [90.03],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,14+,17,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Cavé Leto,NED,97,18 85. | 15 93. [90.91],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,18,15,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Zazulin Evgenii,RUS,98,14+ 96. | 16 87. [92.41],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,14+,16,2019-07-11_Chamonix_Lead_Men_Qualification.csv
McNamee Kindar,CAN,99,18+ 82. | 11+ 106. [94.02],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,18+,11+,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Trojan Vojtech,CZE,100,13 101. | 16 87. [94.78],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,13,16,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Padin Simón,ARG,101,16 92. | 14 99. [96.44],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,16,14,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Aljaro Jose Maria,CHI,102,16 92. | 12+ 102. [97.63],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,16,12+,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Granja Carlos,ECU,103,13 101. | 15 93. [98.20],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,13,15,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Pavlenko Kostiantyn,UKR,104,16 92. | 12 104. [98.58],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,16,12,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Rios Emilio,CHI,105,15+ 95. | 10+ 110. [102.23],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,15+,10+,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Bhutia Pema Thendup,IND,106,13+ 99. | 11+ 106. [102.94],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,13+,11+,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Muhammad Alfian,INA,107,14 98. | 11 108. [103.12],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,14,11,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Bhujel Ganesh,IND,108,11+ 107. | 12+ 102. [104.73],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,11+,12+,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Jaelolo Aspar,INA,109,12 105. | 12 104. [105.00],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,12,12,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Lee Seungbeom,KOR,110,11 108. | 11 108. [108.25],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,11,11,2019-07-11_Chamonix_Lead_Men_Qualification.csv
Gabuldani Soso,GEO,111,9 109. | 8+ 111. [110.00],"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",1119,2019,Chamonix,Lead,Men,Qualification,2019-07-11,/api/v1/category_rounds/5514/results,/api/v1/events/1119/result/1,9,8+,2019-07-11_Chamonix_Lead_Men_Qualification.csv
